id;text;link;comp;loc;desc;pub
p_ca4ab839f8c90e5a;Senior Software Engineer;/rc/clk?jk=ca4ab839f8c90e5a&fccid=dba56d9b49ce0c06&vjs=3;iPrice group;Kuala Lumpur;Strong drive to find, analyse and solve complex software problems. Deliver user stories that crafting front end components using HTML5, CSS3, JavaScript 6, AJAX...;1 day ago
p_23fe9ff839d16742;Senior Software Engineer - Ayer Keroh;/company/ORG-RESOURCES-SDN-BHD/jobs/Senior-Software-Engineer-23fe9ff839d16742?fccid=e95136aff3239b44&vjs=3;ORG RESOURCES SDN BHD;Melaka;*JOB REQUIREMENTS:   Diploma, Bachelor's Degree in Computer Science/Information Technology, Engineering (Computer/Telecommunication), Engineering (Electrical...;1 day ago
p_0907a3404b55b1c5;Senior Systems Engineer;/rc/clk?jk=0907a3404b55b1c5&fccid=0d4717d999ae3acb&vjs=3;Adaptavist;Kuala Lumpur;Install, configure, test and maintain operating systems, application software and system management tools. The ability to think on your feet and to enjoy the...;1 day ago
p_0d9531a5698af516;Client Tech Support Engineer 1 (MYSG);/rc/clk?jk=0d9531a5698af516&fccid=0918a251e6902f97&vjs=3;DELL;Bayan Lepas;Diagnosis & troubleshoot via telephone, computer systems, servers/storage & software systems within standard time frames....;1 day ago
p_d174a505da081f45;Technical Support Engineer 1;/rc/clk?jk=d174a505da081f45&fccid=0918a251e6902f97&vjs=3;DELL;George Town;Technical Support Engineer 1. Exposure networking hardware and software troubleshooting and experience in dealing with the following technologies:....;1 day ago
p_242cab524bad27f6;Senior QA Test Automation Engineer;/company/Appspace-Malaysia-Sdn-Bhd/jobs/Senior-QA-Test-Automation-Engineer-242cab524bad27f6?fccid=76791054fdcc1e43&vjs=3;Appspace Malaysia Sdn Bhd;Kuala Lumpur;At least 5 years of working experience in an agile software development environment and experience in a senior position is an advantage....;1 day ago
p_f6a942d8759c6f0c;Lab Computing Analyst;/rc/clk?jk=f6a942d8759c6f0c&fccid=dedb01f1a81e63e6&vjs=3;PerkinElmer;Petaling Jaya;Optimizes and Maintain Network Software and Hardware. The processes, hardware, and software employed to facilitate communication between computer systems and...;1 day ago
p_0276f6d04836afe1;Software Developer (Angular);/rc/clk?jk=0276f6d04836afe1&fccid=a4e4e2eaf26690c9&vjs=3;Accenture;Kuala Lumpur;Experiences as a software engineer, programmers or relevant roles would be an advantage. Preferably 2 – 5 years of working experiences as software engineer,...;1 day ago
p_be9f1bb8b41241c4;Contract IT Engineer (2 months);/company/ASD-Information-Technology-Sdn-Bhd/jobs/Contract-IT-Engineer-be9f1bb8b41241c4?fccid=778adac359e247ac&vjs=3;ASD Information Technology Sdn Bhd;Johor Bahru;Good Knowledge of network Operations/Security/Management and Antivirus Software. Provide 1st level support to regional customers in software (Application & OS),...;1 day ago
p_c94b7859665acc87;Systems Engineer - Application Support;/rc/clk?jk=c94b7859665acc87&fccid=d29c5f56235af7ca&vjs=3;Infineon Technologies;Melaka;Bachelor’s Degree in Computer Science or Software Engineering. Maintain up-to-date technical knowledge in software engineering and factory automation....;1 day ago
p_057af8d47e9c719b;Staff Engineer, Automation Development Engineering;/rc/clk?jk=057af8d47e9c719b&fccid=b11a318411580b5b&vjs=3;Western Digital;South Seberang Perai;STAFF ENGINEER, AUTOMATION DEVELOPMENT ENGINEERING. Proficiency in any one or more industrial MES/SFC software solutions such as Work stream....;1 day ago
p_506bee0a6c96090e;Client Technical Support Engineer 1 (MYSG);/rc/clk?jk=506bee0a6c96090e&fccid=0918a251e6902f97&vjs=3;DELL;Bayan Lepas;Diagnosis & troubleshoot via telephone, computer systems, servers/storage & software systems within standard time frames....;1 day ago
p_10df2b55fdf1f855;Business Processes Consultant;/rc/clk?jk=10df2b55fdf1f855&fccid=156c7820d1988640&vjs=3;SAP;Kuala Lumpur;Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to...;1 day ago
p_5d2e37c37f017962;Client Technical Support Engineer 1 (Workstation);/rc/clk?jk=5d2e37c37f017962&fccid=0918a251e6902f97&vjs=3;DELL;Bayan Lepas;Diagnosis & troubleshoot via telephone, computer systems, servers/storage & software systems within standard time frames....;1 day ago
p_a288041a94312a1b;Client Technical Support Engineer 1 (VN);/rc/clk?jk=a288041a94312a1b&fccid=0918a251e6902f97&vjs=3;DELL;Bayan Lepas;Diagnosis & troubleshoot via telephone, computer systems, servers/storage & software systems within standard time frames....;1 day ago
